code,name,target_material_code,note
air_filter_regulator_route,空气过滤调压器标准工艺路线,air_filter_regulator,original_route_key=route_air_filter_regulator; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
al_3_2_solenoid_valve_route,铝合金两位三通电磁阀标准工艺路线,al_3_2_solenoid_valve,original_route_key=route_al_3_2_solenoid_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
al_5_2_solenoid_valve_route_v1,铝合金五口二位电磁阀标准工艺路线,al_5_2_solenoid_valve,original_route_key=route_al_5_2_solenoid_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
al_5_2_solenoid_valve_route_v2,铝合金五口二位电磁阀快速工艺路线,al_5_2_solenoid_valve,original_route_key=route_al_5_2_solenoid_valve_fast; original_route_version=v1.1; route_status=active; remark=同产品备用路线，用于精密/快速/强化装配等排产场景
al_manual_directional_valve_route,铝合金手动换向阀标准工艺路线,al_manual_directional_valve,original_route_key=route_al_manual_directional_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
al_quick_exhaust_valve_route,铝合金快排阀标准工艺路线,al_quick_exhaust_valve,original_route_key=route_al_quick_exhaust_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
al_throttle_valve_route,铝合金节流阀标准工艺路线,al_throttle_valve,original_route_key=route_al_throttle_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_air_release_valve_route,黄铜排气阀标准工艺路线,brass_air_release_valve,original_route_key=route_brass_air_release_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_check_valve_route,黄铜止回阀标准工艺路线,brass_check_valve,original_route_key=route_brass_check_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_female_elbow_pushin_route,黄铜内螺纹快插弯头标准工艺路线,brass_female_elbow_pushin,original_route_key=route_brass_female_elbow_pushin; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_male_pushin_fitting_route_v1,黄铜外螺纹快插接头标准工艺路线,brass_male_pushin_fitting,original_route_key=route_brass_male_pushin_fitting; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_male_pushin_fitting_route_v2,黄铜外螺纹快插接头高速路线,brass_male_pushin_fitting,original_route_key=route_brass_male_pushin_fitting_highspeed; original_route_version=v1.1; route_status=active; remark=同产品备用路线，用于精密/快速/强化装配等排产场景
brass_pressure_regulator_route_v1,黄铜减压阀标准工艺路线,brass_pressure_regulator,original_route_key=route_brass_pressure_regulator; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_pressure_regulator_route_v2,黄铜减压阀精密工艺路线,brass_pressure_regulator,original_route_key=route_brass_pressure_regulator_precision; original_route_version=v1.1; route_status=active; remark=同产品备用路线，用于精密/快速/强化装配等排产场景
brass_stabilizer_valve_route,黄铜稳压阀标准工艺路线,brass_stabilizer_valve,original_route_key=route_brass_stabilizer_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_straight_ball_valve_route,黄铜直通球阀标准工艺路线,brass_straight_ball_valve,original_route_key=route_brass_straight_ball_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
brass_tee_ball_valve_route,黄铜三通球阀标准工艺路线,brass_tee_ball_valve,original_route_key=route_brass_tee_ball_valve; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
frl_duo_unit_route,二联件气源处理器标准工艺路线,frl_duo_unit,original_route_key=route_frl_duo_unit; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
frl_trio_unit_route_v1,三联件气源处理器标准工艺路线,frl_trio_unit,original_route_key=route_frl_trio_unit; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
frl_trio_unit_route_v2,三联件气源处理器装配强化路线,frl_trio_unit,original_route_key=route_frl_trio_unit_balanced; original_route_version=v1.1; route_status=active; remark=同产品备用路线，用于精密/快速/强化装配等排产场景
oil_mist_lubricator_route,油雾器总成标准工艺路线,oil_mist_lubricator,original_route_key=route_oil_mist_lubricator; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
silencer_fitting_assy_route,消声器接头总成标准工艺路线,silencer_fitting_assy,original_route_key=route_silencer_fitting_assy; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
stainless_pushin_straight_route,不锈钢快插直通接头标准工艺路线,stainless_pushin_straight,original_route_key=route_stainless_pushin_straight; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
welded_mounting_bracket_assy_route,焊接安装支架总成标准工艺路线,welded_mounting_bracket_assy,original_route_key=route_welded_mounting_bracket_assy; original_route_version=v1.0; route_status=active; remark=基于真实工序与设备类型抽象生成，保证依赖关系为DAG
